REPORT NUMBER,PRIMARY TRAFFICWAY,INTERSECTING TRAFFICWAY,DATETIME,LONGITUDE,LATITUDE,is_dry,is_light,is_clear,is_hit_run,is_workzone,is_child,impaired,speeding,driver_16_25,driver_65_plus,severity
E706951,30TH AVE,E HOWELL ST,2017-08-31 11:53:00,-122.29354529320412,47.617590835983165,0,1,0,0,0,0,0,0,0,0,3
3773509,30TH AVE,E YESLER WAY,2017-03-02 19:25:00,-122.2937181935951,47.60167583992722,0,0,0,0,0,0,0,0,0,0,3
E681232,30TH AVE (AT ALLEY),,2017-06-09 16:08:00,-122.29363868631656,47.60634907008317,1,1,0,0,0,0,0,0,0,0,2
3814095,30TH AVE E,E REPUBLICAN ST,2018-07-17 19:30:00,-122.29311760218735,47.62368171956817,1,0,0,0,0,0,0,0,1,0,2
E918065,30TH AVE NE,BURKE-GILMAN TRL,2019-04-30 20:03:00,-122.29564262809461,47.66449466156162,1,1,0,0,0,0,0,0,0,1,3
E961963,30TH AVE NE,BURKE-GILMAN TRL,2019-09-12 18:19:00,-122.29564262809461,47.66449466156162,1,1,0,0,0,0,0,0,0,0,2
3695642,30TH AVE NE,NE 107TH ST,2017-05-05 08:42:00,-122.29619195514337,47.706674805847044,0,1,0,1,0,0,0,0,0,0,3
E699182,34TH AVE S,,2017-08-04 15:46:00,-122.28994845180438,47.57006231986638,1,1,0,0,0,0,0,0,0,0,3
E978078,34TH AVE SW,,2019-10-25 07:18:00,-122.37520804975645,47.54079477591118,1,0,0,0,0,0,0,0,0,0,2
3754450,35TH AVE NE,,2019-05-16 23:34:00,-122.2904044637634,47.68025377907693,0,0,0,0,0,0,1,0,0,0,3
3693092,35TH AVE SW,SW BARTON ST,2016-10-29 16:00:00,-122.37677784984004,47.52106177303077,1,1,0,0,0,0,0,0,1,0,3
3731784,35TH AVE SW,SW CLOVERDALE ST,2017-09-16 00:47:00,-122.37662588714345,47.526111807625135,1,0,0,1,0,0,0,0,0,0,2
3754661,39TH AVE S,S OTHELLO ST,2016-09-16 19:26:00,-122.28339834373051,47.53703470077819,1,0,0,0,0,1,0,0,1,0,3
E955089,3RD AVE,,2019-08-29 16:53:00,-122.33135343268603,47.602667387098826,1,0,0,0,0,0,0,0,0,0,3
3705911,3RD AVE,,2018-07-20 17:20:00,-122.34067432198151,47.61225551901764,1,1,0,0,0,0,0,0,0,0,3
3795968,3RD AVE,JAMES ST,2019-07-20 00:36:00,-122.33143849800307,47.6027573588599,1,0,0,1,0,0,0,0,1,0,3
E837129,3RD AVE,SENECA ST,2018-09-04 11:47:00,-122.33535166653624,47.607049596357136,1,1,0,0,0,0,0,0,0,0,1
3811927,3RD AVE,UNIVERSITY ST,2018-01-27 15:20:00,-122.3359911940419,47.607767002303405,1,1,0,1,0,0,0,0,0,0,2
