REPORT NUMBER,PRIMARY TRAFFICWAY,INTERSECTING TRAFFICWAY,DATETIME,LONGITUDE,LATITUDE,is_dry,is_light,is_clear,is_hit_run,is_workzone,is_child,impaired,speeding,driver_16_25,driver_65_plus,severity
3750376,ALASKAN WAY,SPRING ST,2019-01-25 15:54:00,-122.33906514543294,47.60450377815493,1,1,0,0,0,0,0,0,0,0,2
3789015,ALASKAN WAY,UNIVERSITY ST,2017-07-21 12:13:00,-122.3403422668961,47.60591379120813,1,1,0,0,0,0,0,0,0,0,3
3753529,ALASKAN WAY,UNIVERSITY ST,2017-07-28 17:18:00,-122.34008922877655,47.60603950141299,1,1,0,0,0,0,0,0,0,0,3
3837939,ALASKAN WAY S,,2020-02-25 07:30:00,-122.33762218286232,47.59012158055485,1,1,1,0,0,0,0,0,0,0,2
E954914,ALASKAN WAY S,,2019-08-29 08:12:00,-122.33773391253258,47.58983045556271,1,1,0,1,0,0,0,0,0,0,3
3812357,ALASKAN WAY S,S MAIN ST,2018-07-14 17:42:00,-122.33551718749133,47.60004958823136,1,1,0,0,0,0,0,0,0,0,2
3704099,ALASKAN WAY S,S WASHINGTON ST,2017-07-14 09:49:00,-122.33559775578304,47.60086984641864,1,1,0,0,0,0,0,0,1,0,3
EA52296,ALASKAN WAY VIA,,2020-07-22 07:20:00,-122.33959015784076,47.58527938593734,1,1,0,1,0,0,0,0,0,0,2
E882489,ALASKAN WAY VIA,MADISON ST,2018-12-06 15:48:00,-122.33821385690202,47.60385449237063,1,1,0,0,0,0,0,0,0,0,3
3806728,ALASKAN WAY VIA,S SPOKANE ST,2019-09-03 17:43:00,-122.33933336017655,47.57141526583843,1,1,1,0,0,0,0,0,0,0,3
3693270,ALKI AVE SW,,2016-09-10 18:01:00,-122.40507133396574,47.58130124229969,1,1,0,0,0,0,0,0,0,0,2
3742389,ALKI AVE SW,,2018-05-12 10:12:00,-122.39743588719051,47.58661989495155,1,1,0,0,0,0,0,0,0,0,4
3812930,ALKI AVE SW,,2019-05-10 19:46:00,-122.39100403868402,47.59276792024381,1,1,0,0,0,0,0,0,0,0,3
E940161,ALKI AVE SW,56TH AVE SW,2019-07-07 09:55:00,-122.40403311261315,47.581751675009485,1,1,0,0,0,0,0,0,0,0,3
EA55933,ALKI AVE SW,58TH AVE SW,2020-08-09 13:38:00,-122.40621014268235,47.58080369123184,1,1,1,1,0,0,0,0,0,0,3
3739958,ALLEY,,2016-09-29 15:11:00,-122.34195371329636,47.61715800863932,1,1,0,0,0,0,0,0,0,0,2
3746587,ALLEY,SPRING ST,2016-11-07 09:51:00,-122.33411215206746,47.6065955334025,1,1,0,0,0,0,0,0,0,0,2
3821302,ALOHA ST,,2019-11-14 04:57:00,-122.33005400698265,47.62688046101055,1,0,0,0,0,0,0,0,0,0,3
3740149,ALOHA ST,DEXTER AVE N,2017-07-24 17:56:00,-122.34232862072541,47.62713085817279,1,1,0,0,0,0,0,0,0,0,2
3694329,ASHWORTH AVE N,N 130TH ST,2017-07-02 17:46:00,-122.33957870000233,47.72319573986825,1,1,0,0,0,0,0,0,0,1,3
3705804,BAGLEY AVE N,N 46TH ST,2018-01-05 14:50:00,-122.33255206843998,47.662618146800135,0,1,0,1,0,0,0,0,0,0,3
E693902,BALLARD AVE NW,,2017-07-21 16:51:00,-122.38588978764622,47.668352281044484,1,1,0,0,0,0,0,0,0,0,2
E960813,BEACH DR SW,,2019-09-12 08:53:00,-122.4092799734404,47.56842413819995,1,1,0,0,0,0,0,0,0,0,3
3856620,BEACH DR SW,SW EDMUNDS ST,2020-07-24 18:04:00,-122.40277298107956,47.55961967113046,1,1,1,0,0,0,0,0,0,0,3
3793502,BEACON AVE S,,2019-11-21 16:30:00,-122.3085411306819,47.57282931870816,0,1,0,0,0,0,0,0,0,0,2
E692184,BEACON AVE S,,2017-07-15 17:26:00,-122.30995497216925,47.57684117831176,1,1,0,0,0,0,0,0,0,0,3
3782769,BEACON AVE S,S ALASKA ST,2016-10-19 08:28:00,-122.3050916849322,47.561155734971635,0,1,0,0,0,0,0,0,0,0,3
3810928,BEACON AVE S,S LANDER ST,2018-08-06 08:50:00,-122.31238211356828,47.57946684089167,1,1,0,0,0,0,0,0,0,0,2
E955213,BEACON AVE S,S OTHELLO ST,2019-08-03 12:54:00,-122.29324287496863,47.53676686857265,1,1,0,0,0,0,0,0,0,1,2
3739990,BELL ST,,2016-10-06 17:20:00,-122.34233018627265,47.61659291943084,1,1,0,1,0,0,0,0,0,0,3
3795452,BELMONT AVE E,E ROY ST,2019-08-27 19:45:00,-122.32402192295628,47.625122184432875,1,0,0,0,0,0,0,0,1,0,2
E984705,BELMONT AVE E,SUMMIT AVE E,2019-11-21 09:07:00,-122.32568415764901,47.62681960063024,1,1,1,0,0,0,0,0,0,0,1
3703929,BLANCHARD ST,,2017-07-18 16:49:00,-122.33969233737093,47.616939961288296,1,1,0,0,0,0,0,0,0,1,3
E939040,BLANCHARD ST,,2019-07-10 10:21:00,-122.33930261187459,47.617164094868826,0,1,0,0,0,0,0,0,1,0,2
3773531,BOREN AVE,MARION ST,2017-03-09 06:17:00,-122.32447615959093,47.608613769679685,0,0,0,0,0,0,0,0,1,0,3
E956928,BOREN AVE,PINE ST,2019-07-13 22:26:00,-122.3298367070862,47.614426071060116,1,0,0,0,0,0,0,0,0,1,2
EA58254,BOREN AVE,PINE ST,2020-08-24 18:22:00,-122.3298367089672,47.61442612586986,1,1,1,1,0,0,0,0,0,0,3
3811580,BOREN AVE,PINE ST,2018-08-29 04:47:00,-122.3298367070862,47.614426071060116,1,0,0,0,0,0,0,0,0,0,3
3772019,BOREN AVE,STEWART ST,2017-08-09 20:18:00,-122.33273820487157,47.61694975556083,1,0,0,1,0,0,0,0,0,0,2
E813906,BOREN AVE,UNION ST,2018-06-13 21:06:00,-122.32805226739124,47.61248979660833,1,0,0,0,0,0,0,0,0,0,3
EA36466,BOYER AVE E,24TH AVE E,2020-05-04 13:02:00,-122.30156477884559,47.63524968423509,1,1,1,0,0,0,0,0,0,0,2
E975797,BOYER AVE E,E LYNN ST,2019-10-09 07:47:00,-122.31093613039802,47.63966017806362,0,1,0,0,0,0,0,0,0,0,2
3746706,BROAD ST,WESTERN AVE,2017-08-09 17:35:00,-122.35335419167771,47.61625874580288,1,1,0,0,0,0,0,0,1,0,3
E968775,BROADWAY,,2019-10-03 17:54:00,-122.32079696914546,47.614305678180585,1,1,0,0,0,0,0,0,0,0,2
3814367,BROADWAY,,2019-09-27 15:54:00,-122.32079694322822,47.6143037317961,1,1,0,0,0,0,0,0,1,0,3
3771388,BROADWAY,,2016-09-08 07:45:00,-122.32080505619997,47.61497946988306,0,1,0,0,0,0,0,0,0,0,2
E596919,BROADWAY,,2016-10-06 16:18:00,-122.32079177250175,47.61474129164819,0,1,0,0,0,0,0,0,0,0,3
E926420,BROADWAY,,2019-05-29 06:00:00,-122.32084627783622,47.61744636552663,1,1,0,0,0,0,0,0,0,0,3
E932847,BROADWAY,,2019-06-11 13:30:00,-122.32080711352943,47.615154895495486,1,1,0,0,0,0,0,0,0,0,3
E700786,BROADWAY,,2017-07-09 19:05:00,-122.3207735136247,47.61321033085819,1,1,0,0,0,1,0,0,0,0,3
3771817,BROADWAY,,2016-11-29 20:31:00,-122.32077197748048,47.611601455513984,1,0,0,0,0,0,0,0,0,0,1
3704220,BROADWAY,COLUMBIA ST,2017-03-06 09:00:00,-122.32076520173928,47.609260830843496,0,1,0,0,0,0,0,0,0,0,2
E619042,BROADWAY,E JEFFERSON ST,2016-12-07 18:25:00,-122.32075221021772,47.606222771605125,1,0,0,1,0,0,0,0,0,0,3
3772025,BROADWAY,E PIKE ST,2017-09-21 15:51:00,-122.32079422501212,47.614082827366445,1,1,0,1,0,0,0,0,0,0,3
EA30304,BROADWAY,E PIKE ST,2020-04-15 17:47:00,-122.32079422407627,47.614082799961494,1,1,1,0,0,0,0,0,1,0,3
3702443,BROADWAY,E PINE ST,2019-08-25 13:30:00,-122.32080826012911,47.61525377992253,1,1,0,0,0,0,0,0,1,0,2
3702444,BROADWAY,E TERRACE ST,2019-08-30 07:50:00,-122.32075522793883,47.60522579974639,1,1,0,0,0,0,0,0,0,0,2
E972413,BROADWAY,E UNION ST,2019-09-14 10:30:00,-122.32076923749338,47.61296279880175,1,1,0,0,0,0,0,0,1,0,3
E620917,BROADWAY,E UNION ST,2016-12-12 17:32:00,-122.32076923749338,47.61296279880175,1,0,0,1,0,0,0,0,0,0,2
E623003,BROADWAY,E UNION ST,2016-12-17 17:31:00,-122.32076923749338,47.61296279880175,1,0,0,0,0,0,0,0,0,0,2
E897424,BROADWAY,E UNION ST,2019-02-26 15:08:00,-122.32076923749338,47.61296279880175,1,1,0,0,0,0,0,0,0,0,2
E987505,BROADWAY,E UNION ST,2019-11-22 19:10:00,-122.3207692384292,47.61296282620672,1,0,1,0,0,0,0,0,0,0,3
E717603,BROADWAY,E UNION ST,2017-09-21 17:08:00,-122.32076923749338,47.61296279880175,1,1,0,0,0,0,0,0,0,0,2
EA40989,BROADWAY,E UNION ST,2020-05-20 17:09:00,-122.3207692384292,47.61296282620672,0,1,0,0,0,0,0,0,0,0,3
E592056,BROADWAY,E UNION ST,2016-09-12 12:45:00,-122.3207692384292,47.61296282620672,1,1,0,0,0,0,0,0,0,0,2
E838797,BROADWAY E,,2018-08-27 17:32:00,-122.32093092629835,47.622982244734175,1,1,0,0,0,0,0,0,0,0,2
EA56907,BROADWAY E,E THOMAS ST,2020-08-19 08:58:00,-122.32089930446915,47.621082816468586,1,1,1,0,0,0,0,0,0,0,2
3479409,BROOKLYN AVE NE,BURKE GILMAN TRL,2016-10-19 18:07:00,-122.3144734607368,47.65421676138357,0,0,0,0,0,0,0,0,0,0,2
3762672,BROOKLYN AVE NE,BURKE GILMAN TRL,2017-02-27 16:14:00,-122.31447346167009,47.654216788788034,0,1,0,0,0,0,0,0,1,0,2
E659064,BROOKLYN AVE NE,BURKE GILMAN TRL,2017-04-06 10:17:00,-122.31447346167009,47.654216788788034,0,1,0,0,0,0,0,0,0,0,3
E661649,BROOKLYN AVE NE,BURKE GILMAN TRL,2017-04-04 13:14:00,-122.31447346167009,47.654216788788034,1,1,0,0,0,0,0,0,0,0,2
E679644,BROOKLYN AVE NE,BURKE-GILMAN TRL,2017-06-09 15:45:00,-122.31447346167009,47.654216788788034,1,1,0,0,0,0,0,0,0,0,3
3479592,BROOKLYN AVE NE,NE PACIFIC ST,2016-10-11 08:44:00,-122.31448439646425,47.65359176773336,1,1,0,0,0,0,0,0,0,0,2
3762315,BURKE GILMAN TRL,N PACIFIC ST,2016-10-05 17:00:00,-122.33146086467353,47.65044560313883,1,1,0,1,0,0,0,0,0,0,3
E820965,BURKE-GILMAN TRL,9TH AVE NW,2018-07-24 17:29:00,-122.36865127306291,47.66136868765462,1,1,0,0,0,0,0,0,0,0,2
3744040,CALIFORNIA AVE SW,SW SEATTLE ST,2017-08-23 17:42:00,-122.38619923622838,47.58931220831619,1,1,0,0,0,0,0,0,0,0,3
3856533,CALIFORNIA AVE SW,SW STEVENS ST,2020-08-04 14:33:00,-122.38671211204391,47.57701170396525,1,1,1,0,0,1,0,0,0,0,3
E964469,CALIFORNIA AVE SW THRUWAY (SAFEWAY),CALIFORNIA AVE SW THRUWAY,2019-09-24 16:44:00,-122.38595235725407,47.580656595880114,1,1,0,0,0,0,0,0,0,0,3
E732776,CEDAR ST,ALLEY,2017-10-31 18:00:00,-122.34757785164919,47.61816572465537,0,0,0,0,0,0,0,0,0,0,3
3811791,CHERRY ST,2ND AVE,2018-08-06 22:59:00,-122.33319416740929,47.60304874203226,1,0,0,1,0,0,0,0,0,0,3
E942830,CHERRY ST,AT ALLEY WAY,2019-07-16 17:53:00,-122.33375053005912,47.602801221140915,1,1,0,0,0,0,0,0,0,0,3
3750873,CLAY ST,ALLEY,2019-05-29 19:18:00,-122.351946508244,47.616041952955406,1,1,0,0,0,0,0,0,0,0,3
E975902,CLAY ST,WESTERN AVE,2019-10-23 17:56:00,-122.35240023329207,47.61569372686538,1,0,0,0,0,0,0,0,0,1,3
3750787,CLISE PL W,,2019-03-30 21:14:00,-122.39791390381,47.63716227450653,1,0,0,0,0,0,0,0,0,0,2
3754506,COLLEGE WAY N,N 100TH ST,2018-05-05 09:48:00,-122.33519802342462,47.70137081546231,1,1,0,0,0,0,0,0,0,0,2
3703803,COLUMBIA ST,2ND AVE,2017-03-14 08:46:00,-122.33386317260052,47.60373076353718,0,1,0,0,0,0,0,0,0,0,3
E709136,COLUMBIA ST,4TH AVE,2017-09-05 12:43:00,-122.33161725541154,47.60468879782486,1,1,0,1,0,0,0,0,0,0,2
E723729,COLUMBIA ST,BOREN AVE,2017-10-16 16:09:00,-122.32384222016853,47.607916753060245,1,1,0,0,0,0,0,0,1,0,3
E839660,CORLISS AVE N,N 128TH ST,2018-09-13 17:59:00,-122.33096171404038,47.72199473740497,1,1,0,0,0,0,0,0,0,0,1
3765001,CORSON AVE S,S WARSAW ST,2017-09-27 16:15:00,-122.32244490425772,47.544488829092636,1,1,0,1,0,0,0,0,0,0,2
E957631,DAYTON AVE N,N 105TH ST,2019-08-30 15:27:00,-122.35276368221771,47.7050737126653,0,1,0,0,0,0,0,0,0,1,2
E705727,DAYTON AVE N,N 50TH ST,2017-08-16 15:45:00,-122.35272278815417,47.66504761682122,1,1,0,0,0,0,0,0,0,0,1
3332368,DELMAR DR E,11TH AVE E,2019-04-10 07:35:00,-122.31789256390434,47.642530569832644,1,1,0,0,0,0,0,0,0,1,3
3744723,DELRIDGE WAY SW,,2017-05-15 16:24:00,-122.36084101086306,47.540090786932396,0,1,0,0,0,0,0,0,0,0,3
3752537,DELRIDGE WAY SW,,2019-03-13 17:36:00,-122.36294565856328,47.55582008029905,1,1,0,0,0,0,0,0,0,0,3
3744356,DELRIDGE WAY SW,,2017-09-02 21:50:00,-122.36298468171708,47.55396820333606,1,0,0,0,0,0,0,0,0,1,3
3752541,DELRIDGE WAY SW,,2019-03-21 07:55:00,-122.36335057477321,47.56446283596424,1,1,0,0,0,0,0,0,0,1,2
3752789,DELRIDGE WAY SW,,2019-06-11 06:30:00,-122.36108819659933,47.53809501180625,1,0,0,0,0,0,0,0,0,0,3
E715284,DELRIDGE WAY SW,SW ORCHARD ST,2017-09-21 15:32:00,-122.36110685269439,47.5379587608711,1,1,0,0,0,0,0,0,0,0,2
3745929,DELRIDGE WAY SW,SW ORCHARD ST,2018-06-21 13:40:00,-122.36110685269439,47.5379587608711,1,1,0,0,0,0,0,0,0,0,3
3742485,DELRIDGE WAY SW,SW ORCHARD ST,2018-03-27 08:39:00,-122.36110685269439,47.5379587608711,0,0,0,0,0,0,0,0,0,0,3
EA00367,DENNY WAY,,2019-12-31 20:58:00,-122.34715634722136,47.618567546954914,1,1,0,0,0,0,0,0,0,0,2
E833656,DENNY WAY,,2018-08-20 16:37:00,-122.32874212827726,47.61846616226401,1,1,0,0,0,0,0,0,0,0,3
3796443,DENNY WAY,FAIRVIEW AVE N,2019-06-14 11:00:00,-122.33434024443866,47.6185257923209,1,1,0,1,0,0,0,0,0,0,2
3736668,DENSMORE AVE N,,2017-09-20 18:52:00,-122.33760513237064,47.721506600831994,1,0,0,0,0,0,1,0,0,0,2
3795280,DEXTER AVE N,,2019-07-01 16:25:00,-122.34232727844753,47.62767880443371,1,1,0,0,0,0,0,0,0,0,3
E818161,DEXTER AVE N,,2018-06-29 17:42:00,-122.3423270924041,47.62774735626078,1,1,0,0,0,0,0,0,0,0,1
E779047,DEXTER AVE N,,2018-03-06 09:50:00,-122.34298292240364,47.636976462021714,1,1,0,0,0,0,0,0,0,0,3
3796016,DEXTER AVE N,,2019-03-25 09:33:00,-122.34236365907856,47.62264070268327,1,1,0,0,1,0,0,0,0,0,3
3753630,DEXTER AVE N,,2017-10-09 19:08:00,-122.34228059313187,47.6344903559448,1,0,0,0,0,0,0,0,0,0,3
E879234,DEXTER AVE N,,2019-01-03 09:05:00,-122.34228267884508,47.63366932928082,0,1,0,0,0,0,0,0,0,0,3
E939324,DEXTER AVE N,,2019-07-01 08:44:00,-122.34228145275983,47.634606765406105,1,1,0,0,0,0,0,0,0,0,2
E684330,DEXTER AVE N,,2017-06-21 10:35:00,-122.3422909002215,47.63448693026212,1,1,0,0,0,0,0,0,0,0,3
E704341,DEXTER AVE N,,2017-08-21 08:50:00,-122.34232553278522,47.628380553158216,1,1,0,0,0,0,0,0,0,0,2
E744256,DEXTER AVE N,,2017-12-06 18:50:00,-122.3423269061661,47.62783233240142,1,0,0,0,0,0,0,0,1,0,3
E795652,DEXTER AVE N,,2018-05-01 07:43:00,-122.34228892116938,47.63559739462267,1,1,0,0,0,0,0,0,0,0,2
E816593,DEXTER AVE N,,2018-07-08 14:16:00,-122.34240312081552,47.61945575355327,1,1,0,0,0,0,0,0,0,0,3
3811727,DEXTER AVE N,,2018-08-18 22:57:00,-122.34260902638498,47.63633636592441,1,0,0,0,0,0,0,0,0,0,3
E874087,DEXTER AVE N,,2018-12-10 17:24:00,-122.34939289415914,47.64559986233127,1,0,0,0,0,0,0,0,0,1,2
3739978,DEXTER AVE N,,2016-09-27 18:31:00,-122.34897566602685,47.64529353712815,1,0,0,0,0,0,0,0,1,0,3
3812119,DEXTER AVE N,,2018-05-22 17:34:00,-122.34232387019584,47.6292126253806,1,1,0,0,0,0,0,0,0,0,3
E733047,DEXTER AVE N,,2017-11-03 08:50:00,-122.34233031242258,47.62937202306396,0,1,0,0,0,0,0,0,0,0,2
EA17105,DEXTER AVE N,,2020-02-11 18:04:00,-122.3423862023589,47.62096588425782,1,0,1,0,0,0,0,0,0,0,3
E978511,DEXTER AVE N,,2019-10-01 18:50:00,-122.34454873996678,47.64072416267835,0,0,0,0,0,0,0,0,1,0,3
3750476,DEXTER AVE N,ALOHA ST,2019-01-29 16:20:00,-122.34232862072541,47.62713085817279,1,1,0,0,0,0,0,0,1,0,3
3851879,DEXTER AVE N,ALOHA ST,2020-07-14 16:40:00,-122.34232861977824,47.62713083076818,1,1,1,0,0,0,0,0,1,0,3
EA57180,DEXTER AVE N,COMSTOCK ST,2020-08-11 16:56:00,-122.34229916411057,47.63059734515931,1,1,1,0,0,0,0,0,0,0,3
E874939,DEXTER AVE N,GARFIELD ST,2018-12-20 07:45:00,-122.34228900124295,47.633388673358354,0,1,0,0,0,0,0,0,0,0,2
EA17106,DEXTER AVE N,HARRISON ST,2020-02-20 15:33:00,-122.34236803658325,47.62207145689057,1,1,1,0,0,0,0,0,1,0,3
3753785,DEXTER AVE N,HARRISON ST,2018-01-17 08:50:00,-122.34236803753032,47.62207148429523,0,1,0,0,0,0,0,0,0,0,3
E912468,DEXTER AVE N,HARRISON ST,2019-03-21 14:59:00,-122.34236803753032,47.62207148429523,1,1,0,0,0,0,0,0,0,0,2
E888466,DEXTER AVE N,MERCER ST,2019-01-10 06:44:00,-122.34235166520885,47.62446824476105,0,0,0,0,0,0,0,0,0,0,2
E911497,DEXTER AVE N,MERCER ST,2019-04-12 10:14:00,-122.34235166520885,47.62446824476105,1,1,0,1,0,0,0,0,0,0,3
E688287,DEXTER AVE N,MERCER ST,2017-06-29 15:47:00,-122.34235166520885,47.62446824476105,1,1,0,0,0,0,0,0,0,0,3
3705770,DEXTER AVE N,ROY ST,2017-11-29 18:15:00,-122.34234228974782,47.62540573164338,0,0,0,0,0,0,0,0,0,0,3
3753537,DEXTER AVE N,THOMAS ST,2018-08-03 17:13:00,-122.34238726015519,47.6208967426161,1,1,0,0,0,0,0,0,0,0,2
E760034,DEXTER AVE N,THOMAS ST,2018-01-18 08:25:00,-122.34238726015519,47.6208967426161,1,1,0,0,0,0,0,0,0,0,3
3644345,DEXTER AVE N,THOMAS ST,2018-04-11 15:25:00,-122.34238726015519,47.6208967426161,0,1,0,0,0,0,0,0,0,0,2
E940524,DOWNTOWN SEATTLE TRANSIT TUNL,,2019-07-01 14:48:00,-122.3339214163522,47.61278467172701,1,1,0,0,0,0,0,0,0,0,3
E808122,E ALDER ST,12TH AVE,2018-06-12 18:26:00,-122.31677390706304,47.604355305613986,1,1,0,0,0,0,0,0,1,0,2
E800886,E ALOHA ST,15TH AVE E,2018-05-22 17:30:00,-122.31258207556756,47.626874114166505,1,1,0,0,0,0,0,0,0,0,2
3547968,E ALOHA ST,16TH AVE E,2019-04-29 16:28:00,-122.31129197624385,47.62686912040181,1,1,0,0,0,0,0,0,0,0,3
E957486,E CHERRY ST,23RD AVE,2019-09-06 18:12:00,-122.30278297907122,47.608013347417725,1,1,0,0,0,0,0,0,0,0,3
3702539,E CHERRY ST,23RD AVE,2018-05-21 18:06:00,-122.30278297907122,47.608013347417725,1,1,0,1,0,0,0,0,0,0,2
3578642,E CHERRY ST,ALLEY W OF 22ND AVE,2018-11-15 08:00:00,-122.30437327923833,47.60801041070651,1,0,0,1,0,0,0,0,0,0,3
3814078,E DENNY WAY,,2018-07-03 19:02:00,-122.30771263007502,47.618503752974824,1,1,0,0,0,0,0,0,0,0,3
E790089,E DENNY WAY,11TH AVE E,2018-04-09 19:30:00,-122.31819110907404,47.61875659989914,1,1,0,0,0,0,0,0,1,0,3
3814386,E DENNY WAY,BELMONT AVE E,2018-10-28 01:53:00,-122.32401125344968,47.61849481385742,0,0,0,0,0,0,1,0,0,0,2
EA11708,E GREEN LAKE DR N,N 77TH ST,2020-02-03 17:05:00,-122.33507456847173,47.68439170619282,1,0,1,0,0,0,0,0,0,0,3
3748205,E GREEN LAKE DR N,STROUD AVE N,2017-03-08 07:30:00,-122.33623764308513,47.68542934490159,1,1,0,0,0,0,0,0,0,0,2
E961683,E GREEN LAKE DR N,SUNNYSIDE AVE N,2019-09-18 15:55:00,-122.32960957909657,47.68261178355895,1,1,0,0,0,0,0,0,0,0,2
E835373,E GREEN LAKE WAY N,KENWOOD PL N,2018-08-27 18:38:00,-122.33765948220153,47.67217877158936,1,1,0,0,0,0,0,0,0,0,2
E731372,E GREEN LAKE WAY N,NE 71ST ST,2017-11-04 14:03:00,-122.32572354247885,47.67980878122492,0,1,0,0,0,0,0,0,1,0,3
E940592,E GREEN LAKE WAY N,W GREEN LAKE WAY N,2019-06-18 17:39:00,-122.3400050679569,47.6694438299508,1,1,0,1,0,0,0,0,0,0,3
3773945,E HARRISON ST,10TH AVE E,2018-08-29 13:11:00,-122.31993428836346,47.62199183529505,1,1,0,0,0,0,0,0,0,0,3
3771824,E HOWELL ST,AT ALLEY WAY,2016-12-13 19:51:00,-122.32492454894306,47.61775623921952,1,0,0,0,0,0,0,0,0,0,2
E771959,E JEFFERSON ST,12TH AVE,2018-02-20 20:35:00,-122.31679178824196,47.606196393920875,1,0,0,0,0,0,0,0,0,0,2
3795393,E JEFFERSON ST,16TH AVE,2019-07-30 07:40:00,-122.31155078195214,47.60617113935587,1,1,0,1,0,0,0,0,0,0,2
E908787,E JEFFERSON ST,18TH AVE,2019-03-11 08:12:00,-122.30893521726652,47.606177856201455,1,1,0,0,0,0,0,0,1,0,2
E790684,E JEFFERSON ST,19TH AVE,2018-04-21 14:13:00,-122.30764319882203,47.60617080299639,0,1,0,0,0,0,0,0,0,0,2
E688295,E JOHN CT,E JOHN ST,2017-06-30 12:19:00,-122.31353384343369,47.61995659992638,1,1,0,0,0,0,0,0,0,0,2
E961510,E JOHN ST,,2019-09-11 20:21:00,-122.31837750381655,47.61993994279066,1,0,0,0,0,0,0,0,0,0,2
3814196,E JOHN ST,12TH AVE E,2018-10-13 23:01:00,-122.3169395436651,47.6199301627485,1,0,0,0,0,0,0,0,0,0,3
3847804,E JOHN ST,12TH AVE E,2020-05-23 00:57:00,-122.31693674313453,47.619930096699235,0,0,0,0,0,0,0,0,0,0,3
3773493,E MADISON ST,,2017-03-05 11:45:00,-122.29449562558153,47.62469998949863,1,1,0,0,0,0,0,0,0,0,3
E723389,E MADISON ST,,2017-10-11 13:08:00,-122.29292033904278,47.62572836027558,1,1,0,1,0,0,0,0,0,0,2
E865098,E MADISON ST,,2018-11-20 08:30:00,-122.29669738171737,47.62314572526717,0,1,0,0,0,0,0,0,0,0,2
E596914,E MADISON ST,14TH AVE,2016-10-07 14:35:00,-122.31423017980732,47.61388976707353,1,1,0,0,0,0,0,0,0,0,2
E908165,E MADISON ST,19TH AVE,2019-04-04 08:41:00,-122.30743530576518,47.61673039561713,1,1,0,1,0,0,0,0,0,0,2
3626298,E MADISON ST,20TH AVE,2016-09-28 10:55:00,-122.30612320497862,47.61728485350738,1,1,0,0,0,0,0,0,0,1,2
E932852,E MADISON ST,24TH AVE E,2019-06-17 17:32:00,-122.3011722271316,47.62009880623723,1,1,0,1,0,0,0,0,0,0,2
E917912,E MADISON ST,24TH AVE E,2019-04-11 16:49:00,-122.3011722271316,47.62009880623723,1,1,0,0,0,0,0,0,0,0,3
3773842,E MADISON ST,41ST AVE E,2017-09-03 20:05:00,-122.27997438061324,47.634482852250684,1,0,0,0,0,0,0,0,0,0,3
E987183,E MARGINAL WAY S,,2019-11-27 08:53:00,-122.34005595157691,47.579702563593536,1,1,0,0,0,0,0,0,0,0,3
E774910,E MARGINAL WAY S,,2018-02-27 15:34:00,-122.33985780091743,47.572643723040294,0,1,0,0,0,0,0,0,0,0,3
3756576,E MARGINAL WAY S,,2017-05-13 06:58:00,-122.34186152505559,47.570459464927296,1,0,0,1,0,0,0,0,0,0,3
E822556,E MARGINAL WAY S,S HINDS ST,2018-07-26 07:04:00,-122.33984005974375,47.57368276499495,1,1,0,0,0,0,0,0,0,0,3
E611264,E MARGINAL WAY S,S HORTON ST,2016-11-15 10:28:00,-122.33988508174896,47.574386809459554,0,1,0,0,0,0,0,0,0,0,2
3586009,E MARION ST,16TH AVE,2019-12-10 08:45:00,-122.31151368516024,47.6103843492535,0,1,1,1,0,0,0,0,0,0,3
3847851,E OLIVE WAY,,2020-08-29 10:50:00,-122.3245846907574,47.61943826148548,1,1,1,0,0,0,0,0,1,0,3
3814081,E OLIVE WAY,BELMONT AVE E,2018-07-07 14:08:00,-122.32401330456018,47.61969981512069,1,1,0,0,0,0,0,0,0,0,2
3774075,E OLIVE WAY,BELMONT AVE E,2019-04-01 22:41:00,-122.32401330456018,47.61969981512069,1,0,0,1,0,0,0,0,0,0,2
E835263,E OLIVE WAY,BELMONT AVE E,2018-08-20 09:09:00,-122.32401330362258,47.61969978771583,1,1,0,0,0,0,0,0,0,0,3
E622996,E PIKE ST,,2016-12-08 13:11:00,-122.32031506945991,47.614134727363776,1,1,0,0,0,0,0,0,0,1,3
3771515,E PIKE ST,10TH AVE,2017-04-25 17:38:00,-122.31945119848773,47.61408881787401,1,1,0,1,0,0,0,0,0,0,2
3642614,E PIKE ST,12TH AVE,2018-08-03 23:00:00,-122.31684524854548,47.614104823929644,1,0,0,0,0,0,0,0,0,0,3
3773808,E PIKE ST,HARVARD AVE,2017-07-02 00:26:00,-122.32211925885947,47.6140747992812,1,0,0,1,0,0,0,0,0,0,3
E772296,E PINE ST,,2018-02-23 14:43:00,-122.31966918124174,47.61525752028329,1,1,0,0,0,0,0,0,0,1,2
3814273,E PINE ST,,2018-09-28 08:05:00,-122.31669270240229,47.6152677045375,1,1,0,0,0,0,0,0,0,0,3
3702403,E PINE ST,,2018-03-23 02:13:00,-122.32324506420495,47.61525960672412,0,0,0,1,0,0,0,0,0,0,2
3814146,E PINE ST,10TH AVE,2018-09-08 12:45:00,-122.31947524585131,47.61524982514957,1,1,0,0,0,0,0,0,0,0,3
3702534,E PINE ST,11TH AVE,2018-05-17 20:54:00,-122.31813894475768,47.61526956944548,1,0,0,1,0,0,0,0,0,0,2
E845332,E PINE ST,11TH AVE,2018-09-24 08:39:00,-122.31813894475768,47.61526956944548,1,1,0,0,0,0,0,0,0,0,2
