AWDT,ADT,AWDT_ROUNDED,REPORT NUMBER,vol_geo,line_i,DATETIME,geometry,line_geo,SPEEDLIMIT,SURFACEWIDTH,one_way,is_steep,is_paved,is_hwy,is_bus,is_truck,is_light,is_clear,is_hit_run,is_workzone,is_child,impaired,speeding,driver_16_25,driver_65_plus,severity
6551.0,6058.0,6700,3773772,"MULTILINESTRING ((-122.3181105476214 47.60620594490652, -122.3167804659814 47.60620304511057), (-122.3194157972164 47.60620860203829, -122.3181105476214 47.60620594490652), (-122.320749632018 47.60621255367317, -122.3194157972164 47.60620860203829))",5040.0,2019-04-19 15:52:00,POINT (-122.3194157932671 47.60620717409615),"LINESTRING (-122.3194130473 47.60520171290543, -122.3194157971671 47.6062086021111)",20.0,30.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
11001.0,10581.0,11300,3773784,"MULTILINESTRING ((-122.3202264080118 47.62546097695454, -122.3202262472769 47.62549837022183, -122.3202196280703 47.62682815599508), (-122.3208929876263 47.62504920282732, -122.3202264080118 47.62546097695454))",5053.0,2017-06-27 06:40:00,POINT (-122.320220950092 47.62656256721589),"LINESTRING (-122.320226408124 47.62546097702487, -122.320226247309 47.62549837018442, -122.3202196280803 47.6268281559198)",25.0,52.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
18147.0,16962.0,18100,E779051,"MULTILINESTRING ((-122.32007129556 47.63840322483684, -122.3200628715967 47.63954711239709), (-122.3200628715967 47.63954711239709, -122.3200626779934 47.63963234253207, -122.3200588031237 47.64135501017236), (-122.3200588031237 47.64135501017236, -122.3200579982882 47.64197813962004, -122.3200573660932 47.64246692981073, -122.3200536566225 47.64255768983377, -122.320054107675 47.64264088563422, -122.3200546770247 47.64274563260622, -122.3200565584729 47.64309168575689, -122.3200564285742 47.6431945562877))",22.0,2018-03-10 23:00:00,POINT (-122.3200693522767 47.63866711037208),"LINESTRING (-122.3200712955947 47.63840322476922, -122.3200628717268 47.6395471124393)",25.0,42.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,3
13771.0,12966.0,13800,3773767,"MULTILINESTRING ((-122.320212353531 47.62867031916121, -122.3202093493822 47.63048977260654), (-122.3199399935894 47.63304580843709, -122.3199449137806 47.6336491277386, -122.3199471839556 47.63366694894223, -122.3199897809156 47.63380206469922, -122.320065079632 47.63397245596482, -122.3200939291009 47.63405776740881, -122.3200931211344 47.63409110020763, -122.320096051373 47.63502705622598), (-122.3202093493822 47.63048977260654, -122.3202064267196 47.63225281879246, -122.3202063833502 47.63227839691336), (-122.3202196280703 47.62682815599508, -122.320212353531 47.62867031916121), (-122.3200798230445 47.63725179719552, -122.32007129556 47.63840322483684), (-122.3200894771209 47.63591281697603, -122.3200893785112 47.6359316226936, -122.3200798230445 47.63725179719552), (-122.320096051373 47.63502705622598, -122.3200894771209 47.63591281697603))",21776.0,2017-07-02 15:13:00,POINT (-122.3200853721749 47.6364851511106),"LINESTRING (-122.3200894771424 47.6359128169739, -122.3200893786288 47.63593162267404, -122.3200798231693 47.63725179726334)",25.0,42.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
13771.0,12966.0,13800,3814426,"MULTILINESTRING ((-122.320212353531 47.62867031916121, -122.3202093493822 47.63048977260654), (-122.3199399935894 47.63304580843709, -122.3199449137806 47.6336491277386, -122.3199471839556 47.63366694894223, -122.3199897809156 47.63380206469922, -122.320065079632 47.63397245596482, -122.3200939291009 47.63405776740881, -122.3200931211344 47.63409110020763, -122.320096051373 47.63502705622598), (-122.3202093493822 47.63048977260654, -122.3202064267196 47.63225281879246, -122.3202063833502 47.63227839691336), (-122.3202196280703 47.62682815599508, -122.320212353531 47.62867031916121), (-122.3200798230445 47.63725179719552, -122.32007129556 47.63840322483684), (-122.3200894771209 47.63591281697603, -122.3200893785112 47.6359316226936, -122.3200798230445 47.63725179719552), (-122.320096051373 47.63502705622598, -122.3200894771209 47.63591281697603))",14741.0,2018-10-23 21:24:00,POINT (-122.3200713729534 47.63839277947622),"LINESTRING (-122.3200798231693 47.63725179726334, -122.3200712955947 47.63840322476922)",25.0,42.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
18147.0,16962.0,18100,E780826,"MULTILINESTRING ((-122.32007129556 47.63840322483684, -122.3200628715967 47.63954711239709), (-122.3200628715967 47.63954711239709, -122.3200626779934 47.63963234253207, -122.3200588031237 47.64135501017236), (-122.3200588031237 47.64135501017236, -122.3200579982882 47.64197813962004, -122.3200573660932 47.64246692981073, -122.3200536566225 47.64255768983377, -122.320054107675 47.64264088563422, -122.3200546770247 47.64274563260622, -122.3200565584729 47.64309168575689, -122.3200564285742 47.6431945562877))",18324.0,2018-03-21 06:22:00,POINT (-122.3200753612386 47.63954707560878),"LINESTRING (-122.3213518066707 47.63954331147825, -122.3200628717268 47.6395471124393)",20.0,25.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
18147.0,16962.0,18100,3813202,"MULTILINESTRING ((-122.32007129556 47.63840322483684, -122.3200628715967 47.63954711239709), (-122.3200628715967 47.63954711239709, -122.3200626779934 47.63963234253207, -122.3200588031237 47.64135501017236), (-122.3200588031237 47.64135501017236, -122.3200579982882 47.64197813962004, -122.3200573660932 47.64246692981073, -122.3200536566225 47.64255768983377, -122.320054107675 47.64264088563422, -122.3200546770247 47.64274563260622, -122.3200565584729 47.64309168575689, -122.3200564285742 47.6431945562877))",23283.0,2019-02-26 15:40:00,POINT (-122.3200588373927 47.64133974956741),"LINESTRING (-122.3200628717268 47.6395471124393, -122.320062678009 47.63963234244726, -122.3200588030658 47.64135501010185)",25.0,42.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,2
8763.0,8600.0,8800,EA33969,"MULTILINESTRING ((-122.3200161756275 47.61524085533464, -122.3194654754557 47.61524513733161), (-122.3194654754557 47.61524513733161, -122.3181594344064 47.61525439170365), (-122.3181594344064 47.61525439170365, -122.3168541691692 47.61526393313111), (-122.3207986530851 47.61523531085427, -122.3200161756275 47.61524085533464))",6988.0,2020-05-15 11:31:00,POINT (-122.3181388356457 47.61525454236504),"LINESTRING (-122.3181594344394 47.61525439179034, -122.316854169188 47.61526393312224)",25.0,50.0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,2
4187.0,3946.0,4200,EA40422,"MULTILINESTRING ((-122.3161356661507 47.67172779755973, -122.3160659511194 47.67171149914911, -122.3156582851781 47.6716161910026, -122.3151897413629 47.67150652401153), (-122.3151897413629 47.67150652401153, -122.3141717049403 47.67125233167733))",21094.0,2020-05-23 15:32:00,POINT (-122.3160044686679 47.67167368962138),"LINESTRING (-122.3162865884275 47.66943126224998, -122.3162967808833 47.671055796188, -122.3162952422066 47.67115007288368, -122.3162851728818 47.67121708772054, -122.316184011429 47.67143857318271, -122.3160516257473 47.67162785618518, -122.3159849284256 47.67169268139237)",25.0,40.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2
7674.0,6170.0,7700,3745908,"MULTILINESTRING ((-122.3480069865496 47.5715586527989, -122.3482931428786 47.57160346985709, -122.3484811314336 47.57162240271239, -122.3492428952658 47.57165394175548), (-122.3463709664863 47.57147976228206, -122.3473475948914 47.57153069656501, -122.3478026114273 47.57154542326186, -122.3480069865496 47.5715586527989), (-122.3463709664863 47.57147976228206, -122.3465957045038 47.57144178916957, -122.3466811667064 47.57142214940845, -122.3467511344946 47.57140311524767, -122.3468371744569 47.57137234847809, -122.3468774855952 47.57135782382209, -122.3470736598675 47.5712720314831, -122.3473284350028 47.57115783053528, -122.3475034542586 47.5710873516361, -122.3476181237146 47.57104870563261, -122.3476947106783 47.57102775111515, -122.3477380315398 47.57101548816791, -122.3477866469341 47.57101071681994, -122.3478486225294 47.57101126591944, -122.3481311614361 47.57101071102299, -122.3482732162829 47.57101179610467, -122.3484144286713 47.57101266373336, -122.3487164216775 47.57101263801215), (-122.3487164216775 47.57101263801215, -122.3490309764209 47.57101337603287, -122.3496999966419 47.57101231016942, -122.3500732140274 47.57101248694495, -122.3504806933186 47.57101220533369, -122.35064206253 47.57102416604055, -122.3507891466148 47.57104492016428, -122.3508336643138 47.5710541353968, -122.3508644541602 47.57106353473362, -122.3509378659303 47.57109559767611))",4911.0,2018-10-03 07:37:00,POINT (-122.3479983830792 47.57158281447114),"LINESTRING (-122.3396800680844 47.57170032670982, -122.3401616206442 47.5718135464003, -122.3414556619507 47.57194117326097, -122.3426739616094 47.57176212677651, -122.3434925792434 47.57163362056428, -122.3463871608675 47.57162228631932, -122.346808986485 47.57164381887298, -122.3474472121441 47.57171675375972, -122.3474703816151 47.57171786844166, -122.3474898110073 47.57171689809614, -122.347502836648 47.57171280946655, -122.3475109790325 47.57170344853083, -122.3475154097872 47.57169307022232, -122.3475398990802 47.57159488242208, -122.3475761574807 47.57159404330929, -122.3479861054444 47.571617295047, -122.3480069864265 47.57155865278386)",20.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
